Statement,Impact,StateLength
"පසුගිය සතියේ One Galle Face හි පැවති Platinum Cake ප්‍රදර්ශනයේදී, කොළොන්නාවේ ප්‍රදේශයෙන් පැමිණ සිටි දක්ෂ කේක් නිෂ්පාදකයින් රැසක් හමුවී කතා බහ කිරීම, මා හට බෙහෙවින් අපූරු අත්දැකීමක් විය.

සැබවින්ම මෙම වැඩසටහන කාන්තා ව්‍යවසායකත්වය සහ සවිබල ගැන්වීමේ තවත් උදාහරණයක්. ව්‍යවසායකයෙකුගේ ශක්තිය යනු අභියෝග නොතකා ඉදිරියට යාමයි.

මෙම සුවිශේෂී අවස්ථාවට මට ආරාධනා කිරීම ගැන Miracles of Cake වෙත මා හදවතින්ම ස්තූතිවන්ත වන්නෙමි .",Positive,414
"Yupun Priyadarshana Abeykoon will go up against the world’s best tonight at Wanda Diamond League Final in Zurich 🙌🇱🇰 
⏰ 12:19AM (SL time)
Wishing him all the best to have a great race💪
යුපුන්, එහෙනම් කොල්ලො දුවන්න තමා තියෙන්නෙ🏃‍♂️❤️",Positive,232
"මාගේ ඡායාරූපයක් යොදාගනිමින්ද , විටින් විට නොයෙක් නම් වලින් පෙනී සිටිමින් මෙසේ msg කරන .......😡 ගෝතයෙකු සිටී . මෙය මාගේ දුරකතන අංකය නොවේ. මා යයි පවසමින් ඔබ වෙත msg පැමිනියේනම් කරුණාකර එය මා නොවන බව දන්වමි . මොහු කවුරුන්දැයි මා නොදනිමි.  මා වෙතද msg කලේ හශාන් පන්නිල ලෙසය .මා block කර නම වෙනස් කර මම ලෙස වෙනත් අයෙකුට msg කරයි . මෙහෙම අංග විකල ජීවිත මොනවා බලපොරොත්තු වෙනවද. යම් අපහසුතාවයක් වූවානම් සමාවෙන්න",Negative,403
තුන්වෙනි එන්නතත් ගහගෙන දැන් කමෙන්ට් දානවා Gota Go Home කියලා...,Negative,63
"Way to go guys ❤️💪
මෙවන් ඩීන් ලා උපකුලපතිලා ගෙදර යැවිය යුතුමයි",Negative,62
"2009 ඉඳන් ඉතාලි Family Visa, 2014 ඉඳන් ඇමෙරිකන් Working visa. යන්න ඕනනං මෙලහට ගිහිං. ඇයි යන්නෙ ? මේක මගෙ රට ! මම ඉපදුන රට ! මැරෙන්නෙත් මේකේ ! තව වද දීපං ! යන්නෙ නෑ !",Negative,165
"වයසක උපක්‍රම 2022 දී එක්ස්පයර්ඩ් !! 
You are fcuknig with the wrong generation !!! 💪💪
#GoHomeRanil2022",Negative,102
"දැන්වත් තේරෙනවද මුරුත්තෙට්ටුවේ ගෙන් උපාධිය ගත්තෙ නැත්තෙ ඇයි කියලා ?

රෑ News බලල Convocation Photo එක දකිනකොට මොකද හිතෙන්නෙ?",Negative,124
අපි හැම කෙනෙක්ටම තියෙනවා  තමන්ගෙම කියලා Style එකක්. ඔබ කවුද කියලා ලෝකයට කියන්න නම් ඔබේ Style එකට ගැලපෙන Mosaic style එක තෝරගන්න💗,Positive,128
"මගේ සාර්ථක ගමනේ දැවැන්ත ශක්තිය.
The biggest strength behind my success.",Positive,71
"Happy First birthday Saranya මැණික 💕
ඔය ලස්සන හුරතල් හිනාව ජීවිත කාලෙම රැදෙන්න කියලා හැමදාම ප්‍රාර්ථනා කරනවා. 
ලෝකේ විෂමයි. මේ විෂම ලෝකේ අම්මයි තාත්තයි වගේම ඔලුව කෙලින් තියාගෙන හැම බාධකයකටම මුහුණදෙන්න ශක්තිය ලැබෙන්න ඕනි චූටි පැටියටත් 💖
i love you so much",Positive,254
"""සද්භාෂණ 18"" 
වේල්ස් කුමර විද්‍යාලයීය මාධ්‍ය තරඟාවලිය සම්මාන උලෙල දවසේ
Back to podium / Kavindu ගේ පලි ගැනීමේ පාපොච්චාරණය  / මගේ සහ කවිදු ගේ ජීවිතය වෙනස් කල ශාමලී ලිවේරා මහත්මිය සමග තරග විනිශ්චය ආදී බොහෝ දේවල් සිදු වූ දවසක්. ස්තූතී ලෝලිත,නිපුන්,සඳුන්, ආරාධනා කලාට. ❤ 
#Mediaday #sadbhashana18 #prince_of_wales #cambrians #cmbu #backtopodium #judge #memories",Positive,357
"“Youth In Governance ”
ජනාධිපතිතුමා සමග පැවැත්වෙන මෙම වැඩසටහන අද (22) වන දින ප.ව. 04.45 සිට ප.ව. 06.00 දක්වා සූම් (Zoom) තාක්ෂණය ඔස්සේ ඔබට නැරඹීමට සහ ප්‍රවෘත්ති සඳහා යොදාගත හැක.
සටහන
මාධ්‍යවේදීන්ට ප්‍රශ්න කිරීමට අවස්ථාවක් නොමැති බව කාරුණිකව දන්වා සිටිමි.",Positive,254
සය නිවුන් දරුවන් බලන්න ගියාම.. හසිත මල්ලිගේ බබාට Ninewells Hospital එකෙන් free Delivery එක කරලා දෙනවලු.. delivery කරන්න බබෙක් තියා තාම කෙල්ලෙක්වත් නැති මම 😪😂,Positive,157
"ඔබ WISH කරන දේ තව දුරටත් සිහිනයක් නොවන්න, දැන්ම ඔබ කැමති SMARTPHONE එක WISH කිරීම සදහා පහත LINK එක CLICK කරන්න.
https://www.dfcc.lk/make-a-wish/
#DFCC #dfccbank #Bankforeveryone #KeepGrowing #FingersCrossed #MakeAWish #offers #wish #wishescomingtrue #festiveoffers #DFCCCreditCards #creditcard #CashBack #creditcardoffers",Positive,321
"roud Moment for Pera Peeps 🥰
අපගේ උණුසුම් සුබ පැතුම් 🥳",Positive,54
බෞද්ධ පූජනීය නගරය තව වසර 50 කින් තවත් කාන්තන්කුඩියක්.එක පංසලයි පල්ලි 91 යි.මේ.මහනුවර නගරය.ජාතිවාදී ආගම්වාදී කියල අතපිහදාගන්න වඩා Google map එකේ search කරන්න mosque කියල town එකක් select කරල. හිතන්න දෙයක් තියෙනවා .ගර්භාශ යුද්ධය ත් මේ ලෙසටම සිද්ද වෙනවා.,Negative,251
"Missing Alert 🔴
පේරාදෙණිය විශ්වවිද්‍යාලයේ , ඉංජිනේරු පීඨයේ තවත් සිසුවෙක් අතුරුදහන් වෙයි..!!!",Negative,92
"කොහොමද කටක් ඇරලා කියන්නේ අපේ රට බංකොලොත් කියලා? අපිටත් අභිමානයක් තියනවා.
කොහොමද කටක් ඇරලා කියන්නෙ අපේ රට බංකොලොත් කියලා? අපිටත් අභිමානයක් තියනවා. විපක්ෂයේ හිටියත් ආණ්ඩුවේ හිටියත් අපි ශ්‍රී ලාංකිකයෝ. අපිට වෙන පාස්පෝර්ට් නෑ.
අපි ඉපදෙන්නෙත් මැරෙන්නෙත් මේ රටේ. තේරුම් ගන්න මේක මෙහෙම යන්න බෑ. අපි කිව්වා ණය ප්‍රතිව්‍යුහගත කරන්න කියලා. දැන්වත් තේරුම් ගන්න.
සම්පුර්ණ කතාව: https://bit.ly/3KyDCbS
#HarshadeSilva #Harsha4Colombo #හර්ෂදසිල්වා #LKA
See less",Negative,446
ක්‍රිකට් පිටිය නැවතත් අපේ කර ගත්ත අපේ තරුණයෝ.ක්‍රිකට් ලෝකයට ශ්‍රි ලංකාවේ යලි පැමිනීම සනාත කරමින් ආසියා T20 කුසලානය දිනාගත් අපේ දක්ෂ තරුණයින් සැබවින්ම අපට ආඩම්බරයක්.The Lions are back!.Such a fighting comeback after the initial setback by the young Sri Lankans.T20 Asian Champs. So proud of our cricketers. #TeamSriLanka #SriLankacricket #Lankanlions #T20AsiaCup2022,Positive,365
"ආදරණීය Amanda, හැමදාමත් මගේ ජීවිතේ ලස්සන වචන වලින් පුරවනවට, මගේ ජීවිතේ ඔයාගේ වචන වලින් පාට කරනවට ගොඩක් ස්තුති. ලියන දේවල් කියවලා, මගේ හිත සන්තෝසෙන් පිරී ඉතිරෙනවා… ඒකට ඔයාට පිං. මගේ පිටිපස්සෙන් ඉඳගෙන මාව ඉස්සරහට තල්ලු කරගෙන යන මගේ බලකාය - ‘RainForce’ එකේ Captain කෙනෙක් ඔබ ! මේ ආදරය ට බොහොම ස්තුති, මමත් ගොඩාක් ආදරෙයි! (ඔයාට වගේ ලස්සන වචන වලින් මගේ feeling එක express කරන්න මට තේරෙන්නේ නෑ, sorry 😞)",Positive,397
"2022 බුකර් සම්මානය ලත් විශිෂ්ටතම කෘතිය  ශෙහාන් කරුණාතිලකගේ Seven Moons of Maali Almeida..සම්මානය පිළිගන්නා දේශනයෙදි ශෙහාන් සිංහලෙන් හා දෙමලෙන්  කියන දෙයින් කොටසක්.""අන්තිමට මම මගේ ආදරණීය ශ්‍රී ලාංකිකයන්ට මේක කියන්න ඕන.මේ පොත මම ඕගොල්ලන්ට ලිව්වේ.මේක දිනුමක් රට පරාජය වෙල ඉන්න මොහොතක රටම ලද දිනුමක්..................ශෙහාන් අපට ඔබ ගැන සතුටුයි , ආඩම්බරයි .",Positive,351
ක්‍රමිකව ප්‍රාථමික අධ්‍යාපනයේ සිට සහා ගුරු පුහුණු අධ්‍යාපනයට gender studies කියන විෂය අනිවාර්ය විෂයක් විදිහට ඇතුලත් නොවීමේ ඵලවිපාක! 😡,Negative,133
ස්ටලින් හිරකලාම GSP+ නැතිවෙන්න පුලුවන් කිවුව අයම දැන් ස්ටාලින් හිර කරලා ඒක තමයි කියන්නෙ වයසට යනකොට කියන කරන දේවල් මතක නෑ පිස්සු වගේ කියලා ඒ තමයි ස්වභාවය වයසක සාපෙන් ගැලවෙමු,Negative,172
නරක් වෙච්ච කෑම කන්නේ නැ වගේ..  Expire වෙච්ච දේශපාලකයෝ අයින් වෙන්න. You Tube ඔස්සේ නරඹන්න,Negative,88
ඉස්සරහ ගැන හිතනව නම් ඔයාටත් පුළුවන් target එක වෙනුවෙන් වැඩ කරන්න. ඒකට ඔයා රාමුවෙන් පිටතට හිතන්න පුරුදුවෙන්න එතකොට කොහොමද game එක ගහන්න ඕනේ කියලා ඔයාට තේරෙයි,Positive,156
"ඔයාගේ ටාර්ගට් එක ඔය ඉන්න තැනට වඩා හොද තැනක් නම්, ඔයාගේ 
""PLAN එක හරි SIMPLE"" 🙂
ඔයා ඔය ඉන්න රාමුවෙන් පිට පනින දේවල් ඔයාට ඔයාගේ වටේ ඉන්න අය මොනවා කිව්වත් කරන්නම වෙනවා.",Positive,165
කවුරු මොනවා කිව්වත් පවුල ඇරුනම ලෝකේ කොහේ ගියත් ජීවිතේට හොද යාලුවෝ ටිකක් ඉන්නවා නම් එච්චරයි.. බර්ත්දේ එක පට්ට Surprise එකකින් පටන් ගත්තා.. Thanku ආපු ඔක්කොටම... සහ Thanku ලග නැතිවුනත් Wish කරපු හැමෝටම ❤️ ආදරෙයි,Positive,209
DP Education එකේ ළමයි ලක්ෂ 11ක් ඉන්නවා ඒ ළමයින්ට සම්පූර්ණම contents තියෙනවා,Positive,75
මෙක බැලුවම හිතෙනවා මේ හැම කරන්නෙ Media එකෙ උන් කියලා. උන් තමයි අපිට හැමදාම trending topics දෙන්නෙ.. අනිවා බැලිය යුතු පට්ට story එකක්.,Negative,133
Social Media වල පෙන්වන තරමට හැමෝම ව්‍යවසායකයො වුනොත් ඒ ව්‍යාපාර වල සේවය කරන්න මිනිස්සු ඉතුරු වෙන්නෙ නෑ. හොද සේවකයෙක් විදිහට ආයතනයක දියුණුවට දායක වෙන්නෙ කොහොමද කියලා කියා දෙන්නෙ කවුරුවත් නෑ...ඒක ලොකු අඩුවක්...,Negative,208
"කොච්චර DC හෝ Marvel Series බැලුවත්, කවදාවත් Netflix එකේ ගිය Daredevil Series එක අතික්‍රමණය කරන්න බැරි වෙන මට්ටමට Daredevil Series එක ඉහළම තැනක වැජැඹුණා! 
කණගාටුයි කියන්න, මුන් ඒ Character එක කනවා. Charlie Cox ගේ කැරැක්ටරේට හානි කරන්න එපා Disney  😥🖕",Negative,249
"එක එක චරිතවලට ""ගැලපෙනම"" නළුවෝ ඉන්නවා. ඒ නළුවන්ව ආයෙ එතැනට Replace කරන එක නොකළ යුත්තක්.",Negative,86
මෙය මාගේ profile පින්තූරය පාවිච්චි කරමින් කරන්නාවූ බොරු FAKE PROFILE එකක්..ආදරයෙන් ඉල්ලන්නෙ කිසිදු කෙනෙක් JOIN වෙන්න එපා..EMAIL එක සහ PHONE NUMBER එකත් ඉල්ලනවා..මෙය තනිකරම FAKE PROFILE එකක්,Negative,189
සාධාරණ සමාජයක් සඳහාවූ ජාතික ව්‍යාපාරය 20 සංශෝධනය රිවස් කිරීමට ඉමහත් වෙහෙසක් දැරූ බව සත්‍යයකි. නමුත් Black Cap Movement ඇතුළු සාමකාමී ජන අරගලය නොවන්නට වසර දෙකක කෙටි කාලයක් තුල 20 අනුමත කල උදෙවියගේම ඡන්දයෙන් එය පෙරලා ගැනීමට නොහැකි වන බවද සත්‍යයකි.,Negative,245
"Chanux Bro YouTube එකට Subs 600,000 වෙන්න තව ටිකයි. Share කරලා යලුවො කීපදෙනෙක්ට කියන්න subscribe කරන්න කියලා.. ස්තුතිය ",Positive,119
අමුත්තන් සතියට දවසයි. කුටියෙන් පි‌ෙ දවසට පැයයි! රනිල් රාජපක්ෂ remand සිරකරු අයිතීන්ටත් කෙලී!,Negative,92
Rocker bogie (රෝකර් බූගී) කියලා කියන්නේ නාසා විද්‍යාඥයින් විසින් ලෝකයට හඳුන්වාදුන්නු හරිම සුවිසේෂ රොබෝ යාන්ත්‍රික පද්ධතියක් (suspension system). මෙහි තියන සුවිසේෂම කරුණ තමයි මේකට ඕනෑම භූමි ස්වාභාවයක් තරණය කිරීමට  (all terrain vehicle) ඇති හැකියාව.,Positive,247
